numero,id_voie,lon,lat,appartement,valeur_locative
32,29082_6d0stu,-4.006161,48.742392,1,0
34,29082_6d0stu,-4.00621,48.742094,1,0
35,29082_6d0stu,-4.005986,48.742117,1,0
36,29082_6d0stu,-4.006236,48.741964,1,0
37,29082_6d0stu,-4.006094,48.741804,1,0
38,29082_6d0stu,-4.006334,48.741741,1,0
39,29082_6d0stu,-4.006248,48.741483,1,0
41,29082_6d0stu,-4.0062,48.741334,1,0
42,29082_6d0stu,-4.006458,48.741602,1,0
43,29082_6d0stu,-4.006242,48.741295,1,0
44,29082_6d0stu,-4.006644,48.741495,1,0
45,29082_6d0stu,-4.006344,48.741311,1,0
47,29082_6d0stu,-4.006376,48.741467,1,0
49,29082_6d0stu,-4.006531,48.74145,1,0
1,29082_b104,-4.028459,48.74829,1,0
3,29082_b104,-4.02838,48.748309,1,0
5,29082_b104,-4.028133,48.748323,1,0
7,29082_b104,-4.027799,48.74851,1,0
9,29082_b104,-4.027738,48.748553,1,0
11,29082_b104,-4.026735,48.749114,1,0
1,29082_jy55yi,-4.015592,48.743273,1,0
2,29082_jy55yi,-4.015787,48.743293,1,0
3,29082_jy55yi,-4.015642,48.743199,1,0
4,29082_jy55yi,-4.015906,48.743238,1,0
5,29082_jy55yi,-4.015801,48.743202,1,0
6,29082_jy55yi,-4.015986,48.743203,1,0
7,29082_jy55yi,-4.015942,48.743103,1,0
8,29082_jy55yi,-4.016153,48.743201,1,0
9,29082_jy55yi,-4.015866,48.743054,1,0
10,29082_jy55yi,-4.016224,48.743171,1,0
1,29082_b023,-4.020847,48.749573,1,0
2,29082_b023,-4.020063,48.749099,1,0
3,29082_b023,-4.020541,48.749751,1,0
5,29082_b023,-4.021165,48.750255,1,0
7,29082_b023,-4.02167,48.750506,1,0
1,29082_b028,-4.029399,48.745552,1,0
3,29082_b028,-4.028415,48.745439,2,0
5,29082_b028,-4.027782,48.745403,1,0
7,29082_b028,-4.027371,48.746029,1,0
9,29082_b028,-4.027731,48.746626,1,0
11,29082_b028,-4.028498,48.746588,1,0
5,29082_b031,-4.017541,48.746166,1,0
6,29082_b031,-4.017173,48.746473,1,0
7,29082_b031,-4.017858,48.746164,1,0
8,29082_b031,-4.016801,48.74624,1,0
10,29082_b031,-4.017068,48.74614,1,0
12,29082_b031,-4.017175,48.746154,1,0
14,29082_b031,-4.017395,48.746188,1,0
2,29082_b037,-4.029832,48.744429,1,0
4,29082_b037,-4.029971,48.744349,1,0
6,29082_b037,-4.029715,48.743918,1,0
8,29082_b037,-4.02988,48.743695,1,0
10,29082_b037,-4.029935,48.743648,1,0
16,29082_b037,-4.030457,48.743978,1,0
18,29082_b037,-4.030639,48.744018,1,0
20,29082_b037,-4.030945,48.744275,1,0
22,29082_b037,-4.031467,48.743902,1,0
24,29082_b037,-4.031702,48.743958,1,0
26,29082_b037,-4.030977,48.744578,1,0
1,29082_b043,-4.019813,48.748738,1,0
3,29082_b043,-4.01978,48.748715,1,0
5,29082_b043,-4.020751,48.748916,1,0
2,29082_b052,-4.002735,48.744857,1,0
3,29082_b052,-4.003412,48.745494,1,0
6,29082_b052,-4.003611,48.746396,1,0
2,29082_b074,-4.018639,48.744973,1,0
3,29082_b074,-4.019072,48.744873,1,0
4,29082_b074,-4.018941,48.744952,1,0
6,29082_b074,-4.019322,48.74481,1,0
8,29082_b074,-4.019458,48.744757,2,0
9,29082_b074,-4.019622,48.744586,1,0
10,29082_b074,-4.019688,48.744673,1,0
11,29082_b074,-4.019992,48.74453,1,0
13,29082_b074,-4.020171,48.74446,1,0
15,29082_b074,-4.020267,48.744433,1,0
17,29082_b074,-4.020317,48.744392,1,0
19,29082_b074,-4.020336,48.744368,1,0
21,29082_b074,-4.020499,48.744274,1,0
23,29082_b074,-4.020571,48.744224,1,0
25,29082_b074,-4.020641,48.744193,1,0
27,29082_b074,-4.020733,48.744147,1,0
37,29082_b074,-4.021068,48.744056,1,0
39,29082_b074,-4.02114,48.744015,1,0
40,29082_b074,-4.021307,48.744054,1,0
41,29082_b074,-4.021238,48.743994,1,0
42,29082_b074,-4.021482,48.743882,1,0
43,29082_b074,-4.021391,48.743809,1,0
44,29082_b074,-4.021657,48.743803,1,0
46,29082_b074,-4.021835,48.743789,1,0
55,29082_b074,-4.021857,48.743692,1,0
57,29082_b074,-4.021773,48.743283,1,0
59,29082_b074,-4.022115,48.74356,1,0
60,29082_b074,-4.022375,48.743563,1,0
61,29082_b074,-4.022302,48.743446,1,0
62,29082_b074,-4.022606,48.743435,1,0
63,29082_b074,-4.022446,48.743363,1,0
64,29082_b074,-4.022876,48.743313,1,0
70,29082_b074,-4.023307,48.743453,1,0
71,29082_b074,-4.022965,48.743203,1,0
72,29082_b074,-4.023417,48.743371,2,0
74,29082_b074,-4.023526,48.743278,1,0
75,29082_b074,-4.02353,48.743079,1,0
76,29082_b074,-4.023654,48.743126,1,0
77,29082_b074,-4.023955,48.742875,1,0
1,29082_b055,-3.993333,48.740349,2,0
3,29082_b055,-3.9928,48.74059,1,0
1,29082_b056,-3.995596,48.742136,1,0
2,29082_b056,-3.995774,48.741868,1,0
3,29082_b056,-3.994912,48.742297,1,0
4,29082_b056,-3.994978,48.741689,1,0
5,29082_b056,-3.99435,48.742161,1,0
7,29082_b056,-3.994096,48.742104,1,0
9,29082_b056,-3.994074,48.742224,1,0
3,29082_5qy0dp,-4.005088,48.741793,1,0
5,29082_5qy0dp,-4.004897,48.741822,1,0
7,29082_5qy0dp,-4.004741,48.74188,1,0
9,29082_5qy0dp,-4.004642,48.741961,1,0
10,29082_5qy0dp,-4.003665,48.742393,1,0
11,29082_5qy0dp,-4.00378,48.742484,1,0
14,29082_5qy0dp,-4.00287,48.742445,1,0
15,29082_5qy0dp,-4.003235,48.74257,1,0
20,29082_5qy0dp,-4.002182,48.742025,1,0
21,29082_5qy0dp,-4.002551,48.742268,1,0
22,29082_5qy0dp,-4.002135,48.741833,1,0
23,29082_5qy0dp,-4.00212,48.742097,1,0
24,29082_5qy0dp,-4.001995,48.742075,1,0
26,29082_5qy0dp,-4.001744,48.742058,1,0
28,29082_5qy0dp,-4.00166,48.742079,1,0
30,29082_5qy0dp,-4.00126,48.742009,1,0
40,29082_5qy0dp,-4.001057,48.741436,1,0
2,29082_n77iwv,-4.017868,48.743777,6,0
4,29082_n77iwv,-4.018138,48.743714,1,0
5,29082_n77iwv,-4.017757,48.743307,4,0
6,29082_n77iwv,-4.018102,48.74365,1,0
7,29082_n77iwv,-4.017538,48.743115,4,0
